environment,algorithm,mean_score,mean_episode_length,source_file
secret_env_0,dyna_q,10.0,63.0,secret_env_0__dyna_q__epsilon=0.3_iterations_count=5000_planning_steps=10.npz
secret_env_0,off_policy_monte_carlo_control,-3.0,63.0,secret_env_0__off_policy_monte_carlo_control__iterations_count=10000.npz
secret_env_0,on_policy_first_visit_monte_carlo_control,10.0,63.0,secret_env_0__on_policy_first_visit_monte_carlo_control__epsilon=0.3_iterations_count=10000.npz
secret_env_0,q_learning,9.0,63.0,secret_env_0__q_learning__epsilon=0.3_iterations_count=10000.npz
secret_env_0,sarsa,9.0,63.0,secret_env_0__sarsa__epsilon=0.3_iterations_count=10000.npz
secret_env_1,dyna_q,31.0,255.0,secret_env_1__dyna_q__epsilon=0.3_iterations_count=4000_planning_steps=10.npz
secret_env_1,off_policy_monte_carlo_control,-13.0,255.0,secret_env_1__off_policy_monte_carlo_control__iterations_count=8000.npz
secret_env_1,on_policy_first_visit_monte_carlo_control,27.0,255.0,secret_env_1__on_policy_first_visit_monte_carlo_control__epsilon=0.3_iterations_count=8000.npz
secret_env_1,q_learning,23.0,255.0,secret_env_1__q_learning__epsilon=0.3_iterations_count=8000.npz
secret_env_1,sarsa,30.0,255.0,secret_env_1__sarsa__epsilon=0.3_iterations_count=8000.npz
secret_env_2,dyna_q,-14.0,255.0,secret_env_2__dyna_q__epsilon=0.3_iterations_count=1500_planning_steps=10.npz
secret_env_2,off_policy_monte_carlo_control,-55.0,255.0,secret_env_2__off_policy_monte_carlo_control__iterations_count=3000.npz
secret_env_2,on_policy_first_visit_monte_carlo_control,-22.0,255.0,secret_env_2__on_policy_first_visit_monte_carlo_control__epsilon=0.3_iterations_count=3000.npz
secret_env_2,q_learning,-27.0,255.0,secret_env_2__q_learning__epsilon=0.3_iterations_count=3000.npz
secret_env_2,sarsa,-38.0,255.0,secret_env_2__sarsa__epsilon=0.3_iterations_count=3000.npz
